Title,Condition,Price,Shipping,Location,Sold Date,Rating,Sold After 2/22/26,US Seller,Log of Price,Log of Shipping
JACK HUGHES 2019-20 UPPER DECK SERIES 1 YOUNG GUNS ROOKIE RC PSA 10 Q6911,New (Other),229.99,6.0,Located in United States,2026-04-09,5.0,1,1,5.438035829717119,1.9459101490553132
2019-20 Upper Deck Series 1 Young Guns #201 Jack Hughes PSA 10 JC,New (Other),225.0,9.95,Located in United States,2026-04-09,5.0,1,1,5.41610040220442,2.3933394562625097
"2019-20 Upper Deck - Young Guns Checklist Jack Hughes, Quinn Hughes #250 (RC)",New (Other),149.0,5.48,Located in United States,2026-04-09,,1,1,5.003946305945459,1.8687205103641833
Javk Hughes 2019-20 Upper Deck - Young Guns Jack #201 (RC),Pre-Owned,98.91,4.78,Located in United States,2026-04-08,5.0,1,1,4.594210345751749,1.7544036826842861
2019-20 Upper Deck Series 2 Quinn Hughes Young Guns Canvas Rookie PSA 10 #C211,New (Other),168.17,6.95,Located in Canada,2026-04-08,,1,0,5.124975372534658,2.0731719286662407
2019-20 Upper Deck Jack/Quinn Hughes Young Guns Silver Foil Checklist PSA 10,New (Other),146.23,6.95,Located in Canada,2026-04-07,,1,0,4.985180724623787,2.0731719286662407
2019 UPPER DECK JACK HUGHES YOUNG GUNS PSA 10 #201,New (Other),217.15,14.62,Located in Canada,2026-04-07,,1,0,5.380588358980831,2.7485521444115397
2019-20 Upper Deck JACK HUGHES Young Guns RC ROOKIE #201 PSA 10 GEM MINT,New (Other),229.97,5.89,Located in United States,2026-04-07,5.0,1,1,5.43794886563323,1.9300710850255671
2019 UPPER DECK NIKITA GUSEV YOUNG GUNS #468 RC PSA 10 GEM MT,New (Other),40.0,8.6,Located in United States,2026-04-07,,1,1,3.6888794541139363,2.2617630984737906
Jack Hughes Young Guns PSA 10 2019-20 Upper Deck #201 GEM MINT Devils RC 🔥,New (Other),217.88,20.64,Located in Canada,2026-04-07,,1,0,5.383944452515474,3.074543453978281
2019-20 Upper Deck - Jack Hughes #201 Young Guns (RC) - PSA 10,New (Other),250.0,6.24,Located in United States,2026-04-06,5.0,1,1,5.521460917862246,1.979621206397625
Jack Hughes 2019-20 Upper Deck - Young Guns #201 (RC),Pre-Owned,98.91,4.78,Located in United States,2026-04-06,5.0,1,1,4.594210345751749,1.7544036826842861
2019-20 Upper Deck JACK HUGHES Young Guns RC ROOKIE #201 PSA 10 GEM MINT,New (Other),239.99,5.49,Located in United States,2026-04-06,5.0,1,1,5.480597255807245,1.8702625307159986
"2019-20 Upper Deck Jack Hughes, Quinn Hughes Young Guns Rookie Dual Auto PSA",New (Other),750.0,0.0,Located in United States,2026-04-06,,1,1,6.620073206530356,0.0
2019 Upper Deck Jack Hughes Young Guns PSA 10 #201 Devils RC,New (Other),233.24,16.5,Located in Canada,2026-04-06,,1,0,5.4520679663539555,2.8622008809294686
2019 UPPER DECK #201 JACK HUGHES RC YOUNG GUNS DEVILS PSA 10,New (Other),219.99,5.62,Located in United States,2026-04-06,5.0,1,1,5.393582090773818,1.890095369948917
2019-20 Series 1 Jack Hughes Young Guns Psa 10,New (Other),329.02,14.62,Located in Canada,2026-02-22,,0,0,5.796118539191275,2.7485521444115397
2019-2020 Upper Deck Young Guns Jack Hughes Rookie RC SGC 10 New Jersey Devils,New (Other),146.23,22.96,Located in Canada,2026-04-05,,1,0,4.985180724623787,3.1763857732472487
"2019-20 UD Series 1 Jack, Quinn Hughes YG Checklist in Person Dual Auto PSA Auth",New (Other),599.95,5.95,Located in Canada,2026-04-05,,1,0,6.396846318410398,1.9387416595767009
2024-25 Upper Deck YOUNG GUNS RENEWED #201 JACK HUGHES PSA 10,New (Other),60.0,5.62,Located in United States,2026-04-05,,1,1,4.0943445622221,1.890095369948917
2019-20 Upper Deck Young Guns Jack Hughes #201 PSA 10,New (Other),219.95,0.0,Located in United States,2026-04-05,5.0,1,1,5.3934002477947285,0.0
2019 Jack Hughes RC PSA 10 -more rare Young Guns Rookie Serial #/999 GEM 03,New (Other),359.0,5.49,Located in United States,2026-04-04,,1,1,5.883322388488279,1.8702625307159986
2019-20 Upper Deck - Young Guns Jack Hughes #201 Rookie Card (RC) PSA 10!!,New (Other),250.0,5.62,Located in United States,2026-04-04,5.0,1,1,5.521460917862246,1.890095369948917
Upper Deck 2019-20 Series 1 Young Guns Jack Hughes #201 Rookie PSA 10 Devils NHL,New (Other),210.0,5.48,Located in United States,2026-04-03,5.0,1,1,5.3471075307174685,1.8687205103641833
2019-20 Upper Deck - Young Guns Jack Hughes #201 (RC) PSA 10 NEW JERSEY DEVILS,New (Other),208.37,14.62,Located in Canada,2026-04-03,,1,0,5.339315345582109,2.7485521444115397
"2019-20 Upper Deck - Young Guns Checklist Jack Hughes, Quinn Hughes #250 (RC)",New (Other),30.0,5.62,Located in United States,2026-04-02,,1,1,3.4011973816621555,1.890095369948917
2019-20 Upper Deck Young Guns Jack Hughes RC SGC 10 New Jersey Devils Rookie,New (Other),200.0,8.6,Located in United States,2026-04-01,5.0,1,1,5.298317366548036,2.2617630984737906
2019 Jack Hughes RC PSA 10 -more rare Young Guns Rookie Serial #/999 GEM MINT,New (Other),299.0,5.49,Located in United States,2026-03-30,,1,1,5.700443573390687,1.8702625307159986
Jack Hughes 2019-20 Upper Deck Young Guns Rookie RC Team USA 201 SGC 10 (GEM MT),New (Other),149.99,5.75,Located in United States,2026-03-30,5.0,1,1,5.010568625207268,1.9095425048844386
2019 UD Rookie Breakouts RB1 JACK HUGHES NJ Devils Rookie #d/100 PSA 9 Mint GOLD,New (Other),199.99,6.99,Located in United States,2026-03-29,,1,1,5.2982673652979955,2.0781907597781832
2019-20 Upper Deck Young Guns JACK HUGHES #201 (RC) USA 🇺🇸 🥇PSA 10 47851310,New (Other),275.0,5.97,Located in United States,2026-03-28,5.0,1,1,5.616771097666572,1.9416152247724325
